Apellidos,Nombre,ID,Asistencia,Parcial1,Parcial2,Ordinario1,Practicas,OrdinarioPracticas
"Anido Bonet",David,1001,90%,5.5,2.75,4,5,6
"Bueno Cerdeira",Patricia,1002,95%,9.5,9,8,6.25,6
"Casariego García",Raúl,1003,98%,4.25,5.75,6,4,5
"Curbelo Sánchez",Jorge,1004,75%,6.75,4.25,6,7,6.5
"Díaz Souto",Sofía,1005,82%,7,6.5,7,9,8
"García Perez",Yaiza,1006,85%,10,8,7,7.5,9
"Sánchez Jordán",María,1007,92%,8.75,9,8.5,6.5,8
"Lorenzo García",Jaime,1008,100%,9.75,8.25,9,7.5,7
"Martínez Lucas",Cecilia,1009,86%,7,4,5,6.25,5
"Mora Peñaloza",Sandra,1010,70%,5.25,2,3,6.5,4.5
"Morillo Escudero",Ana,1011,100%,9.5,10,9,8.75,6.5
"Muñoz Gómez",Carolina,1012,94%,7.75,6.5,8,4,5
"Ramirez de la Puente",Raquel,1013,75%,0,1,1,2.25,3.25
"Riego Pizarro",Carlos,1014,75%,4,2.5,5,7,8
"Rodríguez de Blas",Ignacio,1015,80%,8.25,5.25,6.5,6.5,9
"Moreno Angulo",Antonio,1016,88%,9,6.75,7,5.25,5
